Architecture,Best_Resolution_width,Best_Resolution_height,Boost_Clock,Core_Speed,DVI_Connection,Dedicated,Direct_X,DisplayPort_Connection,HDMI_Connection,Integrated,L2_Per_Core,L2_Cores,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU_Watt,PSU_Amps,Pixel_Rate,Power_Connector,Process,ROPs_Per_Core,ROPs_Cores,Release_Date,Resolution_WxH_width,Resolution_WxH_height,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Arrandale ,1920.0,1080.0,1198.9809523809524,938.0037593984962,1.4127367996775493,No,DX 10,1.657216494845361,0.8574898785425101,Yes,0,1,Intel,110.0,2048.0,8.5,64.0,533.0,DDR3,HD i7 M640,Yes,2.1,500.0,30.0,26.0,None ,28.0,24.0,1,2010-09-20,2560.0,1600.0,No,4.0,56.0,59.0,0.0
Arrandale ,1920.0,1080.0,1198.9809523809524,938.0037593984962,1.4127367996775493,No,DX 10,1.657216494845361,0.8574898785425101,Yes,0,1,Intel,35.0,2048.0,8.5,64.0,533.0,DDR3,HD i3 M350,Yes,2.1,500.0,30.0,26.0,None ,28.0,24.0,1,2010-03-30,4096.0,2160.0,No,4.0,56.0,59.0,0.0
Terascale 2 Broadway XT (x2) ,1920.0,800.0,1198.9809523809524,700.0,1.4127367996775493,Yes,DX 11.0,1.657216494845361,0.8574898785425101,No,256,2,AMD,100.0,2048.0,128.0,128.0,1000.0,GDDR5,Mobility Radeon HD 5870 Crossfire,Yes,4.3,500.0,30.0,22.0,None ,40.0,16.0,2,2010-01-07,2560.0,1600.0,Yes,5.0,40.0,56.0,0.0
M96 XT ,1366.0,768.0,1198.9809523809524,938.0037593984962,1.4127367996775493,Yes,DX 10.1,1.657216494845361,0.8574898785425101,No,0,1,AMD,35.0,1024.0,25.6,128.0,800.0,GDDR3,Mobility Radeon HD 565v,Yes,3.3,500.0,30.0,5.0,None ,55.0,8.0,1,2010-05-05,2560.0,1600.0,Yes,4.1,32.0,22.0,0.0
Terascale 2 Broadway XT ,1600.0,900.0,1198.9809523809524,700.0,1.4127367996775493,Yes,DX 11.0,1.657216494845361,0.8574898785425101,No,256,1,AMD,50.0,1024.0,64.0,128.0,1000.0,GDDR5,Mobility Radeon HD 5870,Yes,4.3,500.0,30.0,11.0,None ,40.0,16.0,1,2010-01-07,2560.0,1600.0,Yes,5.0,40.0,28.0,0.0
Terascale 2 Broadway PRO ,1600.0,900.0,1198.9809523809524,625.0,1.4127367996775493,Yes,DX 11.0,1.657216494845361,0.8574898785425101,No,256,1,AMD,39.0,1024.0,64.0,128.0,1000.0,GDDR5,Mobility Radeon HD 5850,Yes,4.3,500.0,30.0,10.0,None ,40.0,16.0,1,2010-01-07,2560.0,1600.0,Yes,5.0,40.0,25.0,0.0
Terascale 2 Madison LE ,1366.0,768.0,1198.9809523809524,650.0,1.4127367996775493,Yes,DX 11.0,1.657216494845361,0.8574898785425101,No,256,1,AMD,26.0,1024.0,25.6,128.0,800.0,GDDR3,Mobility Radeon HD 5730,Yes,4.3,500.0,30.0,4.0,None ,40.0,6.0,1,2010-01-07,2560.0,1600.0,No,5.0,20.0,13.0,0.0
Terascale 2 Madison XT ,1440.0,900.0,1198.9809523809524,650.0,1.4127367996775493,Yes,DX 11.0,1.657216494845361,0.8574898785425101,No,256,1,AMD,30.0,1024.0,51.2,128.0,800.0,GDDR5,Mobility Radeon HD 5770,Yes,4.3,500.0,30.0,5.0,None ,40.0,8.0,1,2010-01-07,2560.0,1600.0,No,5.0,20.0,13.0,0.0
M96 ,1366.0,768.0,1198.9809523809524,938.0037593984962,1.4127367996775493,Yes,DX 10.1,1.657216494845361,0.8574898785425101,No,0,1,AMD,35.0,1024.0,25.6,128.0,800.0,GDDR3,Mobility Radeon HD 560v,Yes,3.3,500.0,30.0,4.0,None ,55.0,8.0,1,2010-05-05,2560.0,1600.0,Yes,4.1,32.0,18.0,0.0
M96 ,1280.0,720.0,1198.9809523809524,938.0037593984962,1.4127367996775493,Yes,DX 10.1,1.657216494845361,0.8574898785425101,No,0,1,AMD,20.0,1024.0,19.2,128.0,600.0,GDDR3,Mobility Radeon HD 550v,Yes,3.3,500.0,30.0,4.0,None ,55.0,8.0,1,2010-05-05,2560.0,1600.0,Yes,4.0,32.0,14.0,0.0
